id,id_trasy,id_pojazdu,id_pracownika,id_czasu,ilosc_biletow_nor,ilosc_biletow_ulg,godzina_przejazdu,minuty_przejazdu,poziom_wypelnienia,odleglosc,przychod
43,205,2123,1528,110,10,8,9,14,0.9,664.8,140
44,1661,2356,603,743,7,5,9,50,0.6666666666666666,708,128
45,1459,1847,2228,1465,15,3,7,7,0.75,512.4,201
46,1414,504,2154,611,7,2,8,49,0.5625,634.8,112
47,1638,2479,2077,1607,17,0,4,49,0.9444444444444444,346.8,204
48,1960,1818,2067,1817,22,0,8,30,1,612,308
49,1328,2099,1991,2099,27,0,7,5,0.9642857142857143,510,324
50,1681,525,1990,224,20,13,12,24,1,892.8,304
51,1865,359,2035,2244,8,0,10,13,0.5714285714285714,735.6,112
52,554,1659,525,964,13,1,12,7,0.7777777777777778,872.4,133
53,129,1478,2389,516,8,1,4,56,0.8181818181818182,355.2,94
54,701,378,968,506,19,3,3,38,0.88,261.6,262
55,384,587,432,905,2,20,3,26,0.6875,247.2,88
56,763,1482,1718,2438,7,3,5,50,0.5263157894736842,420,104
57,1325,380,557,326,13,2,2,58,0.75,213.6,149
58,2217,2247,1539,428,1,12,2,12,0.7647058823529411,158.4,48
59,2476,2331,144,1538,18,0,7,20,0.8181818181818182,528,216
60,1207,1162,1231,2445,12,6,8,10,0.9473684210526315,588,192
61,290,1199,264,610,25,6,7,22,0.96875,530.4,349
62,549,1588,1567,492,12,1,1,12,0.8125,86.4,173
63,2238,748,2254,281,10,10,8,19,0.9090909090909091,598.8,130
64,524,63,1309,1614,9,16,11,34,0.8620689655172413,832.8,156
65,1899,1450,1845,1945,0,12,8,50,0.75,636,60
66,416,871,1954,2379,13,0,5,30,0.9285714285714286,396,130
67,1807,176,1304,957,3,6,12,17,0.5,884.4,48
68,2093,307,894,351,4,10,5,24,0.8235294117647058,388.8,142
69,1344,999,704,745,2,8,9,5,0.8333333333333334,654,68
70,1813,1139,1924,1098,23,0,7,11,0.8518518518518519,517.2,253
71,884,543,1648,2431,12,0,6,18,1,453.6,168
72,403,711,1574,1960,15,11,5,56,1,427.2,246
73,1384,1106,133,1011,3,9,7,32,0.375,542.4,60
74,40,2483,309,858,8,0,5,25,0.8,390,104
75,1342,1021,266,955,28,1,3,28,1,249.6,394
76,1685,1157,1738,1152,9,23,6,11,1,445.2,315
77,2285,1116,1275,2313,2,9,6,2,1,434.4,67
78,39,376,117,1830,4,2,9,20,0.17647058823529413,672,60
79,1927,1216,659,2256,9,1,9,52,0.9090909090909091,710.4,117
80,2191,137,620,2288,11,7,7,37,0.6923076923076923,548.4,156
81,200,583,1889,567,0,3,5,32,0.10344827586206896,398.4,15
82,969,2041,907,1608,12,1,7,17,0.8666666666666667,524.4,140
83,236,246,1821,2404,12,2,5,57,0.9333333333333333,428.4,184
84,2391,261,883,1230,6,19,6,21,0.9615384615384616,457.2,155
85,1086,115,925,699,12,5,9,19,0.9444444444444444,670.8,176
86,1258,1700,1294,959,8,1,3,53,0.6428571428571429,279.6,92
87,973,867,1465,2135,7,19,2,32,0.9285714285714286,182.4,122
88,341,663,2386,1539,17,0,11,42,1,842.4,221
89,1117,2158,1184,676,10,0,3,45,1,270,120
90,1005,2414,1209,49,28,1,8,43,0.9666666666666667,627.6,394
91,1757,997,397,1473,3,4,8,9,0.7,586.8,78
92,1153,1353,836,385,7,13,7,26,0.8695652173913043,535.2,161
93,1689,1082,1248,1378,27,0,4,33,0.9642857142857143,327.6,324
94,730,259,1891,666,2,19,9,43,0.875,699.6,60
95,456,1720,2223,2187,2,6,9,18,0.34782608695652173,669.6,78
96,2134,286,63,713,1,28,2,29,0.8529411764705882,178.8,262
97,521,1050,1663,1578,24,2,5,48,1,417.6,244
98,2444,49,1946,2038,4,10,3,9,1,226.8,94
99,2372,1053,2231,411,3,11,9,25,0.875,678,113
100,1571,1842,705,2118,9,1,7,11,0.9090909090909091,517.2,107
101,1920,274,1249,2261,21,7,2,34,0.9032258064516129,184.8,273
102,1026,1577,2098,1058,15,0,6,6,0.7142857142857143,439.2,180
103,419,2395,577,86,18,8,4,37,0.7878787878787878,332.4,288
104,2186,123,529,1941,24,0,12,43,0.9230769230769231,915.6,312
105,2076,1177,1868,1284,4,0,9,15,0.3333333333333333,666,56
106,175,1711,898,256,25,2,13,14,0.7941176470588235,952.8,354
107,1357,1173,632,1933,6,5,6,52,0.8461538461538461,494.4,82
108,1422,1081,353,1094,13,7,5,15,0.7142857142857143,378,231
109,2432,2283,1736,830,5,7,3,2,0.4,218.4,107
110,2235,412,2271,1543,1,9,6,50,0.5555555555555556,492,48
111,998,2191,47,425,0,16,8,10,0.48484848484848486,588,48
112,1879,1269,1173,454,6,0,6,29,0.2857142857142857,466.8,84
113,1349,1158,794,2314,0,2,8,19,0.06666666666666667,598.8,10
114,1212,428,1056,777,3,15,2,27,0.8571428571428571,176.4,132
115,1156,1490,2032,944,6,3,2,54,0.75,208.8,96
116,1738,1092,731,1784,10,3,3,25,0.7222222222222222,246,126
117,250,1169,319,849,1,10,3,54,0.6470588235294118,280.8,94
118,2456,2471,198,627,13,11,3,59,0.8,286.8,189
119,337,2043,1245,125,2,7,9,14,0.9,664.8,61
120,1562,1789,1001,1239,7,11,5,26,1,391.2,169
121,1836,1943,501,1050,1,31,3,33,1,255.6,107
122,1800,2390,261,1172,19,5,4,50,0.9230769230769231,348,276
123,2496,1430,954,2232,12,9,7,43,1,555.6,138
124,2375,2085,1480,142,9,9,1,22,1,98.4,144
125,2393,1307,272,1815,14,4,6,40,0.9473684210526315,480,172
126,1897,2109,1735,1109,10,0,3,7,0.7692307692307693,224.4,100
127,335,1329,1205,647,3,5,6,4,0.7272727272727273,436.8,55
128,111,2479,726,2248,12,3,5,3,0.8333333333333334,363.6,171
129,881,19,1962,1556,6,4,7,24,0.5,532.8,94
130,1017,459,284,1480,11,0,3,11,0.7333333333333333,229.2,110
131,2312,133,2396,1663,15,1,6,8,0.9411764705882353,441.6,219
132,888,2308,2203,1921,1,9,6,59,0.5,502.8,50
133,2092,1206,2150,1669,17,2,0,53,0.76,63.6,239
134,165,2330,2372,48,8,3,9,46,0.6470588235294118,703.2,106
135,1624,2026,1986,1812,7,7,7,9,1,514.8,133
136,2174,2038,984,866,15,5,4,32,0.8333333333333334,326.4,205
137,660,258,1042,2233,23,4,5,0,0.8709677419354839,360,289
138,1458,966,1164,2098,17,3,6,45,1,486,191
139,1516,2440,1925,2286,5,4,3,29,0.5294117647058824,250.8,92
140,1323,586,2082,923,0,2,11,24,0.125,820.8,12
141,930,2424,2020,2039,16,7,5,27,0.92,392.4,204
142,1978,182,2115,1944,21,3,6,37,0.96,476.4,276
143,1136,580,817,1292,2,5,8,6,0.4666666666666667,583.2,65
144,1600,2220,1316,815,27,5,6,13,1,447.6,366
145,510,2355,69,2143,6,0,8,20,0.6,600,60
146,1696,470,1874,1333,11,12,8,11,0.696969696969697,589.2,240
147,1303,857,1865,86,8,5,4,37,0.8125,332.4,144
148,193,874,1977,1046,3,1,9,2,0.4,650.4,45
149,885,996,920,602,8,11,6,57,0.5757575757575758,500.4,143
150,2176,1869,780,475,17,0,3,40,1,264,204
151,1457,1198,376,2195,0,7,12,33,0.3888888888888889,903.6,14
152,2308,1780,2312,2472,15,7,4,51,0.9565217391304348,349.2,193
153,2230,13,2051,537,4,18,11,17,0.9565217391304348,812.4,130
154,462,1327,1072,1542,11,0,6,50,1,492,154
155,1760,48,2067,1708,9,0,9,20,0.75,672,99
156,1318,2141,2190,2153,5,12,6,47,0.6296296296296297,488.4,86
157,939,306,2239,907,13,5,9,47,1,704.4,181
158,113,574,2045,1597,16,6,10,25,0.7857142857142857,750,184
159,609,294,1313,2282,20,3,9,44,0.8846153846153846,700.8,209
160,1919,2433,429,2329,13,3,6,0,0.6153846153846154,432,145
161,1739,1362,2203,81,14,0,5,46,0.5,415.2,140
162,1426,465,1409,2028,6,0,7,50,0.35294117647058826,564,72
163,919,761,1697,350,0,22,11,28,0.7333333333333333,825.6,176
164,1766,2400,520,1927,0,6,9,43,0.3157894736842105,699.6,12
165,2365,1400,2045,1513,32,0,3,5,1,222,352
166,1941,2371,2468,1660,9,11,8,34,0.8695652173913043,616.8,198
167,1679,1124,2281,1280,10,0,6,38,0.625,477.6,110
168,74,456,280,274,12,2,7,55,1,570,136
169,1794,61,2051,362,13,6,8,7,0.9047619047619048,584.4,191
170,1391,1467,1723,1655,4,14,1,42,0.5454545454545454,122.4,86
171,79,985,2112,1618,7,12,5,9,0.6785714285714286,370.8,156
172,1392,2057,2036,2324,26,1,10,19,0.9642857142857143,742.8,290
173,578,140,1393,102,6,4,5,38,1,405.6,80
174,1095,835,1574,596,10,0,4,53,1,351.6,120
175,774,2355,2278,1390,9,0,11,50,0.9,852,99
176,1805,557,1464,637,1,23,1,51,0.96,133.2,198
177,187,1269,2356,1287,12,7,4,20,0.9047619047619048,312,167
178,1049,2442,2142,1927,4,6,9,43,0.5,699.6,110
179,2199,911,1835,417,24,0,2,2,0.7272727272727273,146.4,288
180,1519,1314,1672,1399,19,0,8,26,0.95,607.2,247
181,129,869,536,870,5,5,10,38,0.9090909090909091,765.6,85
182,1464,2415,608,388,4,6,7,58,0.625,573.6,72
183,956,1298,1237,2474,9,2,8,2,1,578.4,131
184,1857,488,349,455,14,9,6,39,0.8214285714285714,478.8,186
185,1923,1515,493,1142,1,1,2,1,0.2,145.2,20
186,1199,725,2178,1249,18,4,8,1,0.9565217391304348,577.2,234
187,2385,2015,1177,1600,20,0,4,2,1,290.4,200
188,2474,1393,1407,620,23,2,9,52,0.9259259259259259,710.4,340
189,1658,1549,334,1126,14,0,7,29,0.7368421052631579,538.8,140
190,1262,2027,1459,2453,13,4,9,7,0.9444444444444444,656.4,206
191,2217,1,377,2475,12,0,7,36,0.6,547.2,144
192,1488,159,1560,973,9,15,6,7,0.8275862068965517,440.4,177
193,1763,1562,100,541,0,8,7,48,0.42105263157894735,561.6,56
194,1859,78,1514,457,18,2,3,46,1,271.2,252
195,86,166,1001,2340,0,16,9,14,0.7619047619047619,664.8,96
196,2198,2433,1217,50,1,25,8,45,1,630,136
197,2080,52,1849,619,6,9,0,25,0.6,30,138
198,786,410,881,1773,3,1,2,36,0.36363636363636365,187.2,38
199,601,2412,948,879,2,7,4,57,0.6923076923076923,356.4,38
200,2445,1742,1197,235,6,6,6,34,0.8,472.8,114
201,10,2472,2486,1967,22,11,11,7,1,800.4,275
202,1133,1061,1723,384,7,9,7,30,0.8,540,109
203,1805,1348,231,1952,8,3,10,4,0.5789473684210527,724.8,136
204,830,1208,140,1299,10,6,7,16,1,523.2,138
205,533,1585,1306,2185,1,8,6,37,0.8181818181818182,476.4,58
206,429,2182,2030,840,11,15,6,20,0.9629629629629629,456,170
207,1566,239,1494,509,7,1,11,57,0.5,860.4,94
208,1793,2477,630,1857,13,15,4,18,0.9032258064516129,309.6,231
209,1874,1748,75,1719,22,1,5,0,1,360,289
210,1617,977,2031,1880,8,8,5,22,1,386.4,128
211,762,110,1143,471,11,0,4,28,0.4583333333333333,321.6,132
212,54,1453,1066,1430,7,2,5,32,0.75,398.4,109
213,170,26,237,1376,10,8,8,38,0.6428571428571429,621.6,182
214,492,1919,1290,1872,29,1,10,29,0.9375,754.8,328
215,2380,280,808,1115,0,11,8,16,0.4583333333333333,595.2,88
216,1944,255,1049,2177,22,1,8,40,0.92,624,288
217,1077,1691,439,1705,2,15,8,26,0.8947368421052632,607.2,159
218,802,155,2420,2149,21,7,7,32,0.9333333333333333,542.4,294
219,1878,169,1876,236,8,3,10,27,0.3548387096774194,752.4,114
220,2232,2392,406,215,23,1,8,25,1,606,278
221,2341,1465,1080,1739,3,11,1,44,0.6086956521739131,124.8,52
222,1625,914,255,293,21,1,3,52,1,278.4,256
223,702,1587,2205,319,7,6,7,38,0.3939393939393939,549.6,133
224,1906,2477,1553,1980,28,1,10,49,0.9354838709677419,778.8,311
225,115,1649,1118,1678,3,7,6,15,0.43478260869565216,450,95
226,322,2094,1162,1969,6,8,8,11,1,589.2,102
227,2359,237,2268,1444,15,9,5,17,1,380.4,261
228,13,2442,582,1201,20,0,6,1,1,433.2,260
229,572,2038,1281,1919,4,2,7,7,0.25,512.4,62
230,1752,611,694,576,12,2,11,23,0.8235294117647058,819.6,138
231,977,1789,1090,2121,0,12,2,30,0.6666666666666666,180,72
232,282,1077,1557,1757,5,5,11,21,1,817.2,90
233,1156,1506,1070,520,26,0,7,50,0.8666666666666667,564,338
234,2217,20,1622,927,11,0,11,29,0.7333333333333333,826.8,132
235,2405,711,1077,2167,3,21,10,27,0.9230769230769231,752.4,135
236,378,2335,831,1022,0,11,8,57,0.8461538461538461,644.4,55
237,419,2049,1992,2182,20,1,6,52,0.9545454545454546,494.4,249
238,2496,1676,812,2115,11,3,3,40,0.42424242424242425,264,116
239,688,1879,1733,590,19,3,11,50,0.7586206896551724,852,227
240,2455,1171,14,237,26,2,2,17,0.9655172413793104,164.4,374
241,960,350,995,1489,25,1,10,39,0.9285714285714286,766.8,252
242,567,2153,1981,2040,2,8,6,51,0.9090909090909091,493.2,88
243,1492,1325,1680,762,2,3,0,38,0.1724137931034483,45.6,39
244,199,896,1950,2310,8,6,13,32,0.42424242424242425,974.4,100
245,614,2263,359,2042,14,0,7,37,1,548.4,168
246,1109,1075,920,285,4,13,4,19,0.6296296296296297,310.8,118
247,12,106,1951,1192,22,7,3,47,1,272.4,314
248,1656,940,1720,2202,4,3,8,37,0.5833333333333334,620.4,50
249,1495,2088,602,423,1,8,12,59,0.6923076923076923,934.8,35
250,2056,79,1323,1314,15,7,0,32,0.9565217391304348,38.4,171
251,1234,900,1884,421,3,1,5,56,0.36363636363636365,427.2,33
252,627,593,1642,1509,3,1,9,25,0.21052631578947367,678,38
253,127,1819,2195,906,5,7,9,8,0.9230769230769231,657.6,104
254,813,630,1691,462,4,3,1,16,0.5833333333333334,91.2,62
255,624,632,1200,2143,22,1,8,20,0.8214285714285714,600,247
256,974,542,1784,1198,11,12,5,30,0.71875,396,157
257,317,1846,223,1581,11,2,5,25,0.5,390,126
258,542,1908,2061,1187,18,3,9,14,0.875,664.8,195
259,1088,1741,102,1909,11,11,8,49,1,634.8,198
260,1438,1381,491,1923,11,0,11,36,0.7333333333333333,835.2,154
261,1476,570,1103,2351,3,10,2,10,0.5909090909090909,156,62
262,1559,2238,196,375,3,1,7,42,0.16666666666666666,554.4,39
263,763,1306,1306,432,9,5,5,5,0.4666666666666667,366,136
264,1157,1899,1531,752,11,1,11,24,0.46153846153846156,820.8,161
265,518,551,1041,2222,16,4,6,3,0.6896551724137931,435.6,208
266,2285,1074,768,1908,17,0,6,6,0.85,439.2,187
267,1820,668,1785,243,0,1,1,43,0.08333333333333333,123.6,6
268,251,775,523,605,4,18,3,36,0.6666666666666666,259.2,110
269,1443,579,858,2366,5,10,5,23,0.5769230769230769,387.6,140
270,2303,1039,985,597,9,4,8,43,0.8666666666666667,627.6,127
271,1037,507,1865,2396,2,2,5,54,0.21052631578947367,424.8,32
272,1763,521,2080,1788,12,11,12,6,0.7931034482758621,871.2,221
273,2089,17,2357,2209,1,8,8,44,0.6923076923076923,628.8,61
274,1064,2402,259,1874,29,0,2,50,1,204,319
275,124,1689,656,1895,22,0,7,17,0.9166666666666666,524.4,242
276,237,1666,151,2196,5,14,10,48,0.6129032258064516,777.6,134
277,2406,962,2280,354,22,2,5,48,0.8888888888888888,417.6,270
278,2385,1509,860,1487,6,9,7,21,0.9375,529.2,114
279,2256,822,391,2115,3,2,3,40,0.5,264,45
280,2299,1402,2219,970,10,6,10,23,0.5333333333333333,747.6,112
281,1670,516,289,879,3,1,4,57,0.36363636363636365,356.4,35
282,2321,1987,614,1792,0,13,0,49,0.38235294117647056,58.8,117
283,1156,87,1817,2234,9,0,5,23,0.6923076923076923,387.6,117
284,1738,2203,825,531,2,6,2,8,0.5714285714285714,153.6,36
285,1052,1584,1425,851,16,3,10,47,0.76,776.4,191
286,1956,2073,282,550,8,8,8,56,0.64,643.2,144
287,365,711,499,1376,10,16,8,38,1,621.6,196
288,1741,1966,1742,847,9,6,7,0,0.5357142857142857,504,135
289,1517,1633,907,3,6,5,8,3,0.7857142857142857,579.6,94
290,1436,625,835,693,10,1,10,27,1,752.4,113
291,44,2222,1952,2198,21,1,4,13,0.7586206896551724,303.6,213
292,765,513,1301,646,16,10,7,40,0.896551724137931,552,266
293,1082,868,2374,67,29,2,8,3,1,579.6,360
294,2073,1537,1276,789,15,3,3,43,1,267.6,228
295,620,1731,514,1520,1,19,7,50,1,564,89
296,84,845,464,2051,25,5,8,4,0.9375,580.8,360
297,2012,2230,658,2086,6,4,8,36,0.7692307692307693,619.2,78
298,2370,119,151,779,27,1,8,7,0.875,584.4,326
299,898,2021,1222,1938,14,4,10,33,1,759.6,186
300,2264,306,2160,1623,18,0,9,1,1,649.2,234
301,743,500,850,1457,4,3,6,33,0.4117647058823529,471.6,77
302,2249,334,1976,873,16,3,5,29,0.76,394.8,216
303,1269,1151,575,2346,3,9,10,49,0.3870967741935484,778.8,66
304,164,289,1865,1708,4,16,9,20,0.7142857142857143,672,136
305,2490,1409,622,496,1,9,2,21,1,169.2,31
306,1674,1372,2437,1742,1,3,8,3,0.12903225806451613,579.6,17
307,1237,1628,271,2440,16,3,7,27,0.6333333333333333,536.4,217
308,1786,158,201,464,0,3,9,4,0.3,652.8,27
309,83,261,915,370,5,9,13,25,0.5384615384615384,966,123
310,1726,973,1029,1005,15,11,5,43,0.8387096774193549,411.6,276
311,2085,358,369,2141,24,3,12,26,0.8181818181818182,895.2,336
312,1239,1844,1712,272,5,4,5,39,0.375,406.8,82
313,311,1008,834,1974,1,18,3,13,0.8260869565217391,231.6,49
314,406,718,274,1435,7,4,7,27,0.4230769230769231,536.4,90
315,965,2367,679,662,10,14,10,11,0.7058823529411765,733.2,208
316,1462,2206,897,1028,5,11,9,59,0.9411764705882353,718.8,87
317,957,2026,1983,8,10,1,9,21,0.7857142857142857,673.2,118
318,553,1351,1329,2481,8,1,4,10,0.9,300,85
319,141,2353,2014,1611,1,1,6,21,0.14285714285714285,457.2,18
320,1183,1342,1243,761,0,14,7,2,0.6086956521739131,506.4,126
321,970,283,1257,924,16,1,6,39,1,478.8,163
322,1924,684,1927,2051,7,3,8,4,0.5,580.8,103
323,751,151,2384,2088,9,2,2,40,0.55,192,104
324,1841,2358,2136,1585,7,8,10,29,0.46875,754.8,117
325,616,1353,1791,592,1,21,4,10,0.9565217391304348,300,118
326,1191,854,1120,133,2,4,7,30,0.35294117647058826,540,48
327,1596,2413,1854,1314,12,5,0,32,1,38.4,145
328,1802,2368,1752,304,14,0,5,34,0.9333333333333333,400.8,196
329,2487,431,704,2302,3,7,5,18,1,381.6,84
330,308,2134,2199,813,4,6,4,16,1,307.2,90
331,1097,2038,1325,714,23,1,1,9,1,82.8,307
332,647,834,2185,810,11,4,10,52,0.8823529411764706,782.4,149
333,1222,2253,632,1806,5,7,7,44,0.8,556.8,98
334,1215,2098,554,660,26,1,7,41,0.9642857142857143,553.2,319
335,167,764,1521,1037,3,11,3,37,0.7,260.4,86
336,2432,1706,1212,159,11,5,3,53,1,279.6,173
337,755,646,1756,650,9,1,8,50,0.4,636,119
338,355,143,1294,305,17,1,7,38,1,549.6,207
339,503,1537,1070,1259,11,4,11,7,0.8333333333333334,800.4,155
340,2021,443,400,1212,9,8,1,30,0.7083333333333334,108,154
341,1354,337,2399,1810,8,5,4,23,0.7647058823529411,315.6,125
342,182,836,755,1206,2,8,7,46,0.5,559.2,98
343,1420,2156,1735,1691,11,20,3,6,0.96875,223.2,292
344,2198,409,823,1557,11,1,3,57,0.8,284.4,126
345,71,137,2059,119,20,5,7,1,0.9615384615384616,505.2,285
346,2097,555,1403,135,6,2,10,0,0.8,720,84
347,1585,941,2183,1576,16,4,8,34,0.625,616.8,180
348,1750,1598,96,549,8,1,9,50,0.391304347826087,708,99
349,735,1487,1294,2172,19,0,4,17,1,308.4,247
350,541,314,438,452,12,15,11,19,1,814.8,288
351,1028,2060,1849,1209,18,0,5,17,0.9473684210526315,380.4,252
352,965,2498,821,2123,14,1,10,33,0.9375,759.6,161
353,833,516,2012,2253,11,0,5,37,1,404.4,154
354,1401,1272,1994,726,1,18,6,8,0.7916666666666666,441.6,172
355,2145,1148,1644,394,18,0,0,55,0.8571428571428571,66,198
356,958,203,1448,151,2,30,7,30,1,540,178
357,1855,2172,1911,599,8,1,3,8,0.6923076923076923,225.6,82
358,1239,2321,365,1660,14,0,8,34,1,616.8,140
359,2045,1849,1545,1635,5,0,8,19,0.3125,598.8,65
360,2036,2231,907,175,13,2,6,25,1,462,172
361,1597,2236,1300,2423,11,3,9,11,0.5384615384615384,661.2,169
362,1503,2461,102,1413,24,0,7,58,0.8571428571428571,573.6,312
363,947,222,2125,1247,7,9,8,51,0.5517241379310345,637.2,145
364,453,2228,1234,216,8,7,5,2,0.6,362.4,131
365,2221,2293,1875,2414,20,0,10,22,1,746.4,220
366,716,1013,1076,1011,8,9,7,32,1,542.4,193
367,1179,1531,1872,1416,1,10,6,26,0.55,463.2,53
368,727,295,2283,1323,9,1,9,24,0.9090909090909091,676.8,107
369,2063,1411,2035,1774,24,0,7,36,1,547.2,288
370,2015,1475,305,1222,0,0,8,15,0,594,0
371,1946,314,961,2224,13,11,2,23,0.8888888888888888,171.6,209
372,1740,1481,1887,1243,4,8,2,27,0.75,176.4,88
373,1973,682,38,1089,12,3,2,45,0.8333333333333334,198,183
374,2393,382,1904,180,9,5,6,50,0.9333333333333333,492,130
375,1587,2384,2231,1980,4,4,10,49,0.42105263157894735,778.8,72
376,2469,851,1523,1617,17,3,9,19,1,670.8,230
377,1146,866,1055,14,7,3,6,16,1,451.2,119
378,379,1044,2260,483,5,9,9,13,0.9333333333333333,663.6,86
379,751,1368,1454,1422,10,0,3,7,1,224.4,100
380,1020,2331,217,2427,6,1,7,3,0.3181818181818182,507.6,87
381,125,302,1191,1516,3,23,9,14,1,664.8,125
382,391,1592,917,1857,5,17,4,18,1,309.6,94
383,366,555,1492,735,9,0,9,49,0.9,706.8,117
384,2326,1481,1727,584,1,1,3,58,0.125,285.6,15
385,781,1992,590,1513,22,1,3,5,0.8846153846153846,222,228
386,28,1548,1091,2451,6,11,8,38,0.9444444444444444,621.6,100
387,678,659,1561,1530,28,5,5,40,1,408,328
388,2334,2338,1125,717,8,3,7,11,0.7333333333333333,517.2,100
389,846,338,815,818,5,1,1,51,0.6,133.2,78
390,1178,1649,142,1425,20,2,5,31,0.9565217391304348,397.2,250
391,1214,1354,1882,2211,6,10,6,55,0.8421052631578947,498,112
392,1389,94,1055,1777,11,3,12,18,0.6363636363636364,885.6,175
393,1063,2163,641,246,18,1,4,2,1,290.4,223
394,1968,1012,632,1037,21,1,3,37,0.9565217391304348,260.4,300
395,368,1240,1721,1678,20,3,6,15,0.696969696969697,450,246
396,443,493,2023,2262,2,7,11,58,0.9,861.6,89
397,372,1423,45,1026,4,7,10,28,0.55,753.6,75
398,1085,119,2168,749,21,3,3,40,0.75,264,252
399,865,570,1661,134,7,9,4,44,0.7272727272727273,340.8,143
400,2063,1108,1730,2182,4,0,6,52,0.25,494.4,48
401,799,530,23,1322,5,19,7,21,0.96,529.2,127
402,175,495,1483,453,9,7,7,5,0.7272727272727273,510,140
403,718,1326,254,1134,0,6,4,5,0.5,294,42
404,1799,433,1171,1082,1,4,4,27,0.4166666666666667,320.4,36
405,1343,305,2256,1138,11,14,11,2,0.8928571428571429,794.4,166
406,2192,323,1353,283,2,8,4,9,0.8333333333333334,298.8,46
407,566,228,1814,1493,10,7,1,8,0.5666666666666667,81.6,182
408,79,1845,1291,1370,3,4,9,13,0.5384615384615384,663.6,60
409,1775,114,1535,987,13,1,6,56,0.875,499.2,135
410,2205,698,160,2010,19,2,7,49,0.9130434782608695,562.8,236
411,1448,299,2095,2294,5,5,3,16,0.5555555555555556,235.2,85
412,1042,1977,823,1616,12,5,5,20,1,384,169
413,1392,2385,1132,498,1,19,11,33,0.6666666666666666,831.6,87
414,364,2298,2378,135,14,9,10,0,0.7931034482758621,720,277
415,247,561,2255,1529,12,9,3,16,0.875,235.2,249
416,2067,2359,1024,784,1,4,5,33,0.3333333333333333,399.6,29
417,1319,1071,2356,2477,19,1,6,32,1,470.4,211
418,1504,982,2055,2280,20,2,10,37,0.9565217391304348,764.4,210
419,795,2017,1784,781,4,7,6,54,0.6875,496.8,58
420,285,2244,756,696,2,8,6,35,0.8333333333333334,474,76
421,1500,960,934,655,22,4,13,42,0.9629629629629629,986.4,310
422,1323,146,1512,1355,6,1,9,41,0.5,697.2,78
423,1987,1148,722,1497,1,19,8,36,0.9523809523809523,619.2,67
424,819,1011,1028,993,5,1,7,39,0.46153846153846156,550.8,58
425,882,732,1794,1751,3,20,13,6,0.71875,943.2,202
426,899,538,663,580,11,3,9,31,0.875,685.2,128
